{'age': 1.0, 'workclass': 'Private', 'fnlwgt': 343303.0, 'education': '10th', 'educational-num': -2.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.613181710243225, 'capital-loss': -0.22077152132987976, 'hours-per-week': 38.0, 'native-country': 'Mexico'}
{'age': 72.0, 'workclass': '?', 'fnlwgt': 748409.0, 'education': '7th-8th', 'educational-num': 7.0, 'marital-status': 'Widowed', 'occupation': '?', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.5865083932876587, 'capital-loss': 1.116877794265747, 'hours-per-week': -11.0, 'native-country': 'United-States'}

{'age': -6.0, 'workclass': 'Private', 'fnlwgt': 388690.0, 'education': '10th', 'educational-num': -5.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -2.0674126148223877, 'capital-loss': -0.3768429458141327, 'hours-per-week': 41.0, 'native-country': 'Mexico'}

{'age': 29.0, 'workclass': 'Private', 'fnlwgt': 107096.0, 'education': '5th-6th', 'educational-num': -12.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.9516795873641968, 'capital-loss': -0.20704063773155212, 'hours-per-week': 30.0, 'native-country': 'Mexico'}

{'age': 21.0, 'workclass': '?', 'fnlwgt': -30722.0, 'education': '11th', 'educational-num': 3.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.6149431467056274, 'capital-loss': 0.7933989763259888, 'hours-per-week': -45.0, 'native-country': 'United-States'}

{'age': 18.0, 'workclass': 'Private', 'fnlwgt': -42160.0, 'education': 'Some-college', 'educational-num': 11.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.399207204580307, 'capital-loss': -0.4303486943244934, 'hours-per-week': 4.0, 'native-country': 'United-States'}

{'age': 24.0, 'workclass': 'Private', 'fnlwgt': 296510.0, 'education': 'Bachelors', 'educational-num': 12.0, 'marital-status': 'Never-married', 'occupation': 'Adm-clerical', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.4800480902194977, 'capital-loss': 0.7083969116210938, 'hours-per-week': 8.0, 'native-country': 'United-States'}

{'age': 46.0, 'workclass': 'Private', 'fnlwgt': 180938.0, 'education': '7th-8th', 'educational-num': 1.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Other-service', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.6452111005783081, 'capital-loss': 0.1660795509815216, 'hours-per-week': 24.0, 'native-country': 'United-States'}

{'age': 3.0, 'workclass': 'Private', 'fnlwgt': 39673.0, 'education': '11th', 'educational-num': 5.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.8623306751251221, 'capital-loss': -0.6535944938659668, 'hours-per-week': 24.0, 'native-country': 'United-States'}

{'age': 11.0, 'workclass': 'Private', 'fnlwgt': 124419.0, 'education': '11th', 'educational-num': 5.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.713109016418457, 'capital-loss': -0.6170930862426758, 'hours-per-week': 52.0, 'native-country': 'United-States'}

{'age': 28.0, 'workclass': 'Private', 'fnlwgt': 195303.0, 'education': '5th-6th', 'educational-num': -14.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Other-relative', 'race': 'White', 'gender': 'Male', 'capital-gain': -2.478447437286377, 'capital-loss': -0.04166576266288757, 'hours-per-week': 18.0, 'native-country': 'Mexico'}

{'age': 29.0, 'workclass': 'Private', 'fnlwgt': 280142.0, 'education': 'Some-college', 'educational-num': 11.0, 'marital-status': 'Never-married', 'occupation': '?', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.740166425704956, 'capital-loss': 1.0065999031066895, 'hours-per-week': 0.0, 'native-country': 'United-States'}

{'age': 12.0, 'workclass': 'Private', 'fnlwgt': 128686.0, 'education': '11th', 'educational-num': 8.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.5835546255111694, 'capital-loss': 0.4249812960624695, 'hours-per-week': 5.0, 'native-country': 'United-States'}

{'age': 22.0, 'workclass': 'Private', 'fnlwgt': 85405.0, 'education': 'HS-grad', 'educational-num': 10.0, 'marital-status': 'Never-married', 'occupation': 'Farming-fishing', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.10648980736732483, 'capital-loss': -0.4617037773132324, 'hours-per-week': 68.0, 'native-country': 'United-States'}

{'age': 27.0, 'workclass': '?', 'fnlwgt': 109047.0, 'education': '11th', 'educational-num': 5.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.223371148109436, 'capital-loss': 0.9166290760040283, 'hours-per-week': -18.0, 'native-country': 'United-States'}

{'age': 14.0, 'workclass': 'Private', 'fnlwgt': -7791.0, 'education': '11th', 'educational-num': 7.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.5181722640991211, 'capital-loss': -0.21862876415252686, 'hours-per-week': 10.0, 'native-country': 'United-States'}

{'age': 19.0, 'workclass': 'Private', 'fnlwgt': 393950.0, 'education': 'Some-college', 'educational-num': 10.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.24904516339302063, 'capital-loss': 0.4669435918331146, 'hours-per-week': 24.0, 'native-country': 'United-States'}

{'age': 38.0, 'workclass': 'Private', 'fnlwgt': 426953.0, 'education': '5th-6th', 'educational-num': -7.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Other-relative', 'race': 'White', 'gender': 'Male', 'capital-gain': -2.0723297595977783, 'capital-loss': 0.2898932993412018, 'hours-per-week': 16.0, 'native-country': 'Mexico'}

{'age': 15.0, 'workclass': 'Private', 'fnlwgt': 416588.0, 'education': '5th-6th', 'educational-num': -2.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.6491488218307495, 'capital-loss': 0.4445169270038605, 'hours-per-week': 20.0, 'native-country': 'Mexico'}

{'age': 2.0, 'workclass': 'Private', 'fnlwgt': 186032.0, 'education': '11th', 'educational-num': 5.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.9979705810546875, 'capital-loss': -0.7947945594787598, 'hours-per-week': 43.0, 'native-country': 'United-States'}

{'age': -4.0, 'workclass': 'Private', 'fnlwgt': 456529.0, 'education': '11th', 'educational-num': 2.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.393548607826233, 'capital-loss': -0.042274683713912964, 'hours-per-week': 28.0, 'native-country': 'United-States'}

{'age': 28.0, 'workclass': 'Private', 'fnlwgt': 190569.0, 'education': 'HS-grad', 'educational-num': 8.0, 'marital-status': 'Never-married', 'occupation': 'Craft-repair', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.006150677800178528, 'capital-loss': -0.1447395235300064, 'hours-per-week': 38.0, 'native-country': 'United-States'}

{'age': 5.0, 'workclass': 'Private', 'fnlwgt': 198624.0, 'education': '11th', 'educational-num': 3.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.0435779094696045, 'capital-loss': 0.16974756121635437, 'hours-per-week': 9.0, 'native-country': 'United-States'}

{'age': 18.0, 'workclass': 'Private', 'fnlwgt': 8997.0, 'education': 'HS-grad', 'educational-num': 7.0, 'marital-status': 'Never-married', 'occupation': 'Farming-fishing', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.4639352858066559, 'capital-loss': -0.7925574779510498, 'hours-per-week': 75.0, 'native-country': 'United-States'}

{'age': 18.0, 'workclass': 'Private', 'fnlwgt': -22593.0, 'education': '10th', 'educational-num': -0.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.1819422245025635, 'capital-loss': 0.10349836945533752, 'hours-per-week': -15.0, 'native-country': 'United-States'}

{'age': 7.0, 'workclass': 'Private', 'fnlwgt': 386206.0, 'education': 'Bachelors', 'educational-num': 12.0, 'marital-status': 'Never-married', 'occupation': 'Adm-clerical', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.23552033305168152, 'capital-loss': -0.6190527677536011, 'hours-per-week': 29.0, 'native-country': 'United-States'}

{'age': 4.0, 'workclass': 'Private', 'fnlwgt': 288969.0, 'education': 'Some-college', 'educational-num': 10.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.4734649360179901, 'capital-loss': -0.5762299299240112, 'hours-per-week': 27.0, 'native-country': 'United-States'}

{'age': 10.0, 'workclass': 'Private', 'fnlwgt': -48796.0, 'education': 'Some-college', 'educational-num': 9.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.717980146408081, 'capital-loss': -0.19682380557060242, 'hours-per-week': -5.0, 'native-country': 'United-States'}

{'age': 15.0, 'workclass': 'Private', 'fnlwgt': 137234.0, 'education': 'Some-college', 'educational-num': 11.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.9426870346069336, 'capital-loss': 0.9405888319015503, 'hours-per-week': -14.0, 'native-country': 'United-States'}

{'age': 14.0, 'workclass': 'Private', 'fnlwgt': 249352.0, 'education': '11th', 'educational-num': 7.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.5689792633056641, 'capital-loss': 0.4717014729976654, 'hours-per-week': 12.0, 'native-country': 'United-States'}

{'age': 15.0, 'workclass': 'Private', 'fnlwgt': 75864.0, 'education': '7th-8th', 'educational-num': -4.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.2677536010742188, 'capital-loss': -0.44142696261405945, 'hours-per-week': 35.0, 'native-country': 'Mexico'}

{'age': 18.0, 'workclass': 'Private', 'fnlwgt': 356170.0, 'education': '5th-6th', 'educational-num': -7.0, 'marital-status': 'Never-married', 'occupation': 'Farming-fishing', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.7796339988708496, 'capital-loss': -0.04056653380393982, 'hours-per-week': 52.0, 'native-country': 'Mexico'}

{'age': 25.0, 'workclass': 'Private', 'fnlwgt': 396629.0, 'education': 'HS-grad', 'educational-num': 8.0, 'marital-status': 'Never-married', 'occupation': 'Craft-repair', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.3052140176296234, 'capital-loss': 0.533753514289856, 'hours-per-week': 70.0, 'native-country': 'United-States'}

{'age': 52.0, 'workclass': 'Private', 'fnlwgt': 200988.0, 'education': '7th-8th', 'educational-num': 4.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Craft-repair', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.003001272678375244, 'capital-loss': 0.011447161436080933, 'hours-per-week': 38.0, 'native-country': 'United-States'}

{'age': 26.0, 'workclass': 'Private', 'fnlwgt': 161620.0, 'education': '11th', 'educational-num': 7.0, 'marital-status': 'Never-married', 'occupation': 'Craft-repair', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.18835052847862244, 'capital-loss': -0.10563233494758606, 'hours-per-week': 43.0, 'native-country': 'United-States'}

{'age': 36.0, 'workclass': '?', 'fnlwgt': 71740.0, 'education': 'Some-college', 'educational-num': 8.0, 'marital-status': 'Never-married', 'occupation': '?', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.5642427206039429, 'capital-loss': 1.4576483964920044, 'hours-per-week': -48.0, 'native-country': 'United-States'}

{'age': 12.0, 'workclass': 'Private', 'fnlwgt': 135651.0, 'education': 'Some-college', 'educational-num': 11.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.5322699546813965, 'capital-loss': 0.3014804720878601, 'hours-per-week': 4.0, 'native-country': 'United-States'}

{'age': -1.0, 'workclass': 'Private', 'fnlwgt': 121130.0, 'education': 'Some-college', 'educational-num': 9.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.6601190567016602, 'capital-loss': -0.9969594478607178, 'hours-per-week': 25.0, 'native-country': 'United-States'}

{'age': 68.0, 'workclass': '?', 'fnlwgt': 636956.0, 'education': 'Some-college', 'educational-num': 10.0, 'marital-status': 'Widowed', 'occupation': '?', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.7732566595077515, 'capital-loss': 1.3751076459884644, 'hours-per-week': -27.0, 'native-country': 'United-States'}

{'age': 12.0, 'workclass': 'Private', 'fnlwgt': 302131.0, 'education': 'Bachelors', 'educational-num': 12.0, 'marital-status': 'Never-married', 'occupation': 'Adm-clerical', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.07379230856895447, 'capital-loss': -0.5553512573242188, 'hours-per-week': 29.0, 'native-country': 'United-States'}

{'age': 4.0, 'workclass': 'Private', 'fnlwgt': 192054.0, 'education': 'Some-college', 'educational-num': 12.0, 'marital-status': 'Never-married', 'occupation': 'Adm-clerical', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.3174956738948822, 'capital-loss': -1.050825834274292, 'hours-per-week': 30.0, 'native-country': 'United-States'}

{'age': 6.0, 'workclass': 'Private', 'fnlwgt': -23716.0, 'education': '11th', 'educational-num': 8.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.7900508642196655, 'capital-loss': -0.07411500811576843, 'hours-per-week': -2.0, 'native-country': 'United-States'}

{'age': -2.0, 'workclass': 'Private', 'fnlwgt': 273362.0, 'education': '11th', 'educational-num': 6.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.0187944173812866, 'capital-loss': 0.17709603905677795, 'hours-per-week': 6.0, 'native-country': 'United-States'}

{'age': 81.0, 'workclass': '?', 'fnlwgt': 132475.0, 'education': '7th-8th', 'educational-num': 5.0, 'marital-status': 'Widowed', 'occupation': '?', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.062141284346580505, 'capital-loss': 0.24307486414909363, 'hours-per-week': 7.0, 'native-country': 'United-States'}

{'age': 5.0, 'workclass': 'Private', 'fnlwgt': 220985.0, 'education': '5th-6th', 'educational-num': -10.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -2.1774768829345703, 'capital-loss': -0.2771620452404022, 'hours-per-week': 31.0, 'native-country': 'Mexico'}

{'age': 40.0, 'workclass': 'Private', 'fnlwgt': 450043.0, 'education': '5th-6th', 'educational-num': -9.0, 'marital-status': 'Never-married', 'occupation': 'Farming-fishing', 'relationship': 'Other-relative', 'race': 'White', 'gender': 'Male', 'capital-gain': -2.3754050731658936, 'capital-loss': 0.3452191650867462, 'hours-per-week': 10.0, 'native-country': 'Mexico'}

{'age': 23.0, 'workclass': 'Private', 'fnlwgt': 214541.0, 'education': 'Some-college', 'educational-num': 10.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.2585960328578949, 'capital-loss': 0.4785439074039459, 'hours-per-week': 17.0, 'native-country': 'United-States'}

{'age': 2.0, 'workclass': '?', 'fnlwgt': 11500.0, 'education': '11th', 'educational-num': 3.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.6364631652832031, 'capital-loss': 0.8988914489746094, 'hours-per-week': -41.0, 'native-country': 'United-States'}

{'age': -7.0, 'workclass': 'Private', 'fnlwgt': 157560.0, 'education': '11th', 'educational-num': 7.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.0331953763961792, 'capital-loss': -0.49402937293052673, 'hours-per-week': 10.0, 'native-country': 'United-States'}

{'age': 9.0, 'workclass': 'Private', 'fnlwgt': 50141.0, 'education': 'Some-college', 'educational-num': 8.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.45668068528175354, 'capital-loss': -0.39416465163230896, 'hours-per-week': 22.0, 'native-country': 'United-States'}

{'age': 6.0, 'workclass': 'Private', 'fnlwgt': 753614.0, 'education': '10th', 'educational-num': 3.0, 'marital-status': 'Never-married', 'occupation': 'Handlers-cleaners', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.3930107355117798, 'capital-loss': 0.4876303970813751, 'hours-per-week': 41.0, 'native-country': 'United-States'}

{'age': 6.0, 'workclass': 'Private', 'fnlwgt': 62261.0, 'education': 'Some-college', 'educational-num': 8.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.6405961513519287, 'capital-loss': -0.022595077753067017, 'hours-per-week': 7.0, 'native-country': 'United-States'}

{'age': 20.0, 'workclass': 'Private', 'fnlwgt': 19152.0, 'education': 'HS-grad', 'educational-num': 9.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.20050829648971558, 'capital-loss': -0.8079323768615723, 'hours-per-week': 41.0, 'native-country': 'United-States'}

{'age': 12.0, 'workclass': 'Private', 'fnlwgt': 416877.0, 'education': '11th', 'educational-num': 5.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.7238513231277466, 'capital-loss': 0.07846000790596008, 'hours-per-week': 48.0, 'native-country': 'United-States'}

